, EXG Channel 1, EXG Channel 3
60200,-715.164239,21.89898419
60201,-715.2726961,22.24305499
60202,-708.9410455,27.59485182
60203,-704.1128346,18.89958443
60204,-708.7877096,16.32279336
60205,-713.4513648,23.68291647
60206,-707.9836311,25.26115425
60207,-706.3679943,14.90537127
60208,-706.1847392,26.45792224
60209,-704.9879712,20.8405925
60210,-700.8142428,16.56588685
60211,-695.5409839,32.19866867
60212,-708.8774672,22.83395918
60213,-713.331688,26.38312424
60214,-701.9212532,15.46261637
60215,-706.4016534,23.47348207
60216,-715.3175749,17.37744514
60217,-714.7304106,20.59749901
60218,-718.3992524,23.75023467
60219,-719.3005683,16.16945746
60220,-722.1054933,21.2482416
60221,-717.5241158,21.0874259
60222,-710.4968438,22.11963829
60223,-716.3722267,19.47178912
60224,-703.6079481,22.69558288
60225,-714.7191909,17.88233164
60226,-702.676713,21.1697037
60227,-694.5798296,19.41195072
60228,-702.0671093,23.06583298
60229,-707.3553279,17.74395534
60230,-706.7793833,18.02070794
60231,-706.5325499,20.28708731
60232,-716.1964514,24.97318195
60233,-707.1945122,20.8405925
60234,-713.6271401,23.00599458
60235,-709.666586,25.01806075
60236,-717.4680173,22.32907269
60237,-715.426032,20.8779915
60238,-717.6624921,26.09515194
60239,-717.071588,21.94386299
60240,-720.7217303,19.22495572
60241,-718.900399,23.46600227
60242,-717.2286638,23.18550978
60243,-717.7672093,16.31157366
60244,-714.0086099,26.89549053
60245,-717.9018457,21.1136052
60246,-715.5718881,16.12083876
60247,-714.9847238,21.70824929
60248,-720.8488869,22.94241628
60249,-722.8198142,14.07137358
60250,-702.2054856,24.67398996
60251,-716.136613,23.08827238
60252,-715.3437542,19.13893802
60253,-721.9745968,14.10129278
60254,-723.1302259,21.1360446
60255,-720.6132732,17.59809924
60256,-718.302015,26.02783374
60257,-716.8060551,19.96171601
60258,-707.2169516,24.23642166
60259,-712.8567207,17.61305884
60260,-714.902446,18.28624083
60261,-710.8895333,21.2819007
60262,-712.3518342,28.28299341
60263,-714.4686176,21.72694879
60264,-709.9433386,20.39928431
60265,-710.8970131,23.06209308
60266,-709.5356895,22.86761828
60267,-709.2963359,18.14786453
60268,-705.9005068,29.2291881
60269,-704.7673171,21.3417391
60270,-700.8703413,18.45827623
60271,-703.5256703,23.26778757
60272,-712.0040235,23.82129277
60273,-698.0280174,16.84263945
60274,-692.1077557,29.00105421
60275,-709.8461012,27.60233162
60276,-711.3944198,14.47528278
60277,-715.8822998,23.76519427
60278,-718.1785983,22.50484798
60279,-709.7937426,29.5657791
60280,-699.8680482,17.42232394
60281,-704.7261782,22.12337819
60282,-702.0222305,19.68870332
60283,-698.7685176,18.71632933
60284,-705.5152971,17.08573295
60285,-699.3856011,15.39155827
60286,-696.0009916,25.63140435
60287,-699.5239774,19.47926892
60288,-707.538583,22.35899189
60289,-701.1246545,23.29770677
60290,-712.0788215,22.58712578
60291,-709.3898334,19.67374372
60292,-713.6009608,25.71742205
60293,-724.1998373,19.09031932
60294,-720.0373286,19.86634856
60295,-716.3198681,20.16928046
60296,-702.975905,19.29040397
60297,-714.4686176,15.21391302
60298,-715.9720574,26.38125429
60299,-720.1046468,19.97106576
60300,-711.6412532,26.88988068
60301,-709.1168207,16.35458251
60302,-721.2116572,21.77369754
60303,-720.1570054,19.43626007
60304,-710.5342428,23.98771832
60305,-714.3713802,24.54496341
60306,-703.3835541,14.06950363
60307,-706.7008454,25.99230469
60308,-710.9979904,21.51564445
60309,-713.6607992,20.11692186
60310,-704.4868246,20.95839935
60311,-705.9753048,24.9376529
60312,-715.2689562,19.61203537
60313,-712.5425691,24.53374371
60314,-712.359314,24.70577911
60315,-722.415905,21.35108885
60316,-715.0370824,18.44518658
60317,-717.7559896,21.64654094
60318,-719.3791062,21.10799535
60319,-718.6498257,25.0161908
60320,-713.2269708,24.76187761
60321,-716.959391,22.72737203
60322,-716.1440928,26.42987299
60323,-725.669618,17.54013079
60324,-722.902092,17.1399615
60325,-725.4639235,26.04840319
60326,-716.2525499,18.73689878
60327,-707.9948508,22.12898804
60328,-710.1340735,26.68044628
60329,-715.9720574,22.57777603
60330,-712.808102,13.52347824
60331,-713.0811147,26.88614078
